capability_area,family,method,path,domain,action,radius,recoverability,outward_facing
help_center,Article Attachments,POST,/api/v2/help_center/articles/attachments,hc,write,record,reversible,
help_center,Article Attachments,DELETE,/api/v2/help_center/articles/attachments/{article_attachment_id},hc,delete,record,recoverable-with-effort,
help_center,Article Attachments,GET,/api/v2/help_center/articles/attachments/{article_attachment_id},hc,read,record,n/a,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments,hc,read,record,n/a,
help_center,Article Attachments,POST,/api/v2/help_center/articles/{article_id}/attachments,hc,write,record,reversible,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments/block,hc,read,record,n/a,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments/inline,hc,read,record,n/a,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments/{article_attachment_id},hc,read,record,n/a,
help_center,Article Attachments,GET,/api/v2/help_center/{locale}/articles/{article_id}/attachments,hc,read,record,n/a,
help_center,Article Attachments,GET,/api/v2/help_center/{locale}/articles/{article_id}/attachments/block,hc,read,record,n/a,
help_center,Article Attachments,GET,/api/v2/help_center/{locale}/articles/{article_id}/attachments/inline,hc,read,record,n/a,
help_center,Article Comments,GET,/api/v2/help_center/articles/{article_id}/comments,hc,read,record,n/a,
help_center,Article Comments,POST,/api/v2/help_center/articles/{article_id}/comments,hc,write,record,reversible,
help_center,Article Comments,DELETE,/api/v2/help_center/articles/{article_id}/comments/{comment_id},hc,delete,record,recoverable-with-effort,
help_center,Article Comments,GET,/api/v2/help_center/articles/{article_id}/comments/{comment_id},hc,read,record,n/a,
help_center,Article Comments,PUT,/api/v2/help_center/articles/{article_id}/comments/{comment_id},hc,write,record,reversible,
help_center,Article Comments,GET,/api/v2/help_center/users/{user_id}/comments,hc,read,record,n/a,
help_center,Article Comments,GET,/api/v2/help_center/{locale}/articles/{article_id}/comments,hc,read,record,n/a,
help_center,Article Comments,POST,/api/v2/help_center/{locale}/articles/{article_id}/comments,hc,write,record,reversible,
help_center,Article Comments,DELETE,/api/v2/help_center/{locale}/articles/{article_id}/comments/{comment_id},hc,delete,record,recoverable-with-effort,
help_center,Article Comments,GET,/api/v2/help_center/{locale}/articles/{article_id}/comments/{comment_id},hc,read,record,n/a,
help_center,Article Comments,PUT,/api/v2/help_center/{locale}/articles/{article_id}/comments/{comment_id},hc,write,record,reversible,
help_center,Article Labels,GET,/api/v2/help_center/articles/labels,hc,read,record,n/a,
help_center,Article Labels,DELETE,/api/v2/help_center/articles/labels/{label_id},hc,delete,record,recoverable-with-effort,
help_center,Article Labels,GET,/api/v2/help_center/articles/labels/{label_id},hc,read,record,n/a,
help_center,Article Labels,GET,/api/v2/help_center/articles/{article_id}/labels,hc,read,record,n/a,
help_center,Article Labels,POST,/api/v2/help_center/articles/{article_id}/labels,hc,write,record,reversible,
help_center,Article Labels,DELETE,/api/v2/help_center/articles/{article_id}/labels/{label_id},hc,delete,record,recoverable-with-effort,
help_center,Article Labels,GET,/api/v2/help_center/{locale}/articles/{article_id}/labels,hc,read,record,n/a,
help_center,Article Labels,POST,/api/v2/help_center/{locale}/articles/{article_id}/labels,hc,write,record,reversible,
help_center,Article Labels,DELETE,/api/v2/help_center/{locale}/articles/{article_id}/labels/{label_id},hc,delete,record,recoverable-with-effort,
help_center,Articles,GET,/api/v2/help_center/articles,hc,read,record,n/a,
help_center,Articles,DELETE,/api/v2/help_center/articles/{article_id},hc,delete,record,recoverable-with-effort,
help_center,Articles,GET,/api/v2/help_center/articles/{article_id},hc,read,record,n/a,
help_center,Articles,PUT,/api/v2/help_center/articles/{article_id},hc,write,record,reversible,
help_center,Articles,POST,/api/v2/help_center/articles/{article_id}/bulk_attachments,hc,write,bulk,reversible,
help_center,Articles,PUT,/api/v2/help_center/articles/{article_id}/source_locale,hc,write,record,reversible,
help_center,Articles,GET,/api/v2/help_center/categories/{category_id}/articles,hc,read,record,n/a,
help_center,Articles,GET,/api/v2/help_center/incremental/articles,hc,read,record,n/a,
help_center,Articles,GET,/api/v2/help_center/sections/{section_id}/articles,hc,read,record,n/a,
help_center,Articles,POST,/api/v2/help_center/sections/{section_id}/articles,hc,write,record,reversible,
help_center,Articles,GET,/api/v2/help_center/users/{user_id}/articles,hc,read,record,n/a,
help_center,Articles,GET,/api/v2/help_center/{locale}/articles,hc,read,record,n/a,
help_center,Articles,DELETE,/api/v2/help_center/{locale}/articles/{article_id},hc,delete,record,recoverable-with-effort,
help_center,Articles,GET,/api/v2/help_center/{locale}/articles/{article_id},hc,read,record,n/a,
help_center,Articles,PUT,/api/v2/help_center/{locale}/articles/{article_id},hc,write,record,reversible,
help_center,Articles,POST,/api/v2/help_center/{locale}/articles/{article_id}/bulk_attachments,hc,write,bulk,reversible,
help_center,Articles,PUT,/api/v2/help_center/{locale}/articles/{article_id}/source_locale,hc,write,record,reversible,
help_center,Articles,GET,/api/v2/help_center/{locale}/categories/{category_id}/articles,hc,read,record,n/a,
help_center,Articles,GET,/api/v2/help_center/{locale}/sections/{section_id}/articles,hc,read,record,n/a,
help_center,Articles,POST,/api/v2/help_center/{locale}/sections/{section_id}/articles,hc,write,record,reversible,
help_center,Categories,GET,/api/v2/help_center/categories,hc,read,record,n/a,
help_center,Categories,POST,/api/v2/help_center/categories,hc,write,record,reversible,
help_center,Categories,DELETE,/api/v2/help_center/categories/{category_id},hc,delete,record,recoverable-with-effort,
help_center,Categories,GET,/api/v2/help_center/categories/{category_id},hc,read,record,n/a,
help_center,Categories,PUT,/api/v2/help_center/categories/{category_id},hc,write,record,reversible,
help_center,Categories,PUT,/api/v2/help_center/categories/{category_id}/source_locale,hc,write,record,reversible,
help_center,Categories,GET,/api/v2/help_center/{locale}/categories,hc,read,record,n/a,
help_center,Categories,POST,/api/v2/help_center/{locale}/categories,hc,write,record,reversible,
help_center,Categories,DELETE,/api/v2/help_center/{locale}/categories/{category_id},hc,delete,record,recoverable-with-effort,
help_center,Categories,GET,/api/v2/help_center/{locale}/categories/{category_id},hc,read,record,n/a,
help_center,Categories,PUT,/api/v2/help_center/{locale}/categories/{category_id},hc,write,record,reversible,
help_center,Categories,PUT,/api/v2/help_center/{locale}/categories/{category_id}/source_locale,hc,write,record,reversible,
help_center,Content Subscriptions,GET,/api/v2/community/posts/{post_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,POST,/api/v2/community/posts/{post_id}/subscriptions,hc,write,record,reversible,
help_center,Content Subscriptions,DELETE,/api/v2/community/posts/{post_id}/subscriptions/{subscription_id},hc,delete,record,recoverable-with-effort,
help_center,Content Subscriptions,GET,/api/v2/community/posts/{post_id}/subscriptions/{subscription_id},hc,read,record,n/a,
help_center,Content Subscriptions,GET,/api/v2/community/topics/{topic_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,POST,/api/v2/community/topics/{topic_id}/subscriptions,hc,write,record,reversible,
help_center,Content Subscriptions,DELETE,/api/v2/community/topics/{topic_id}/subscriptions/{subscription_id},hc,delete,record,recoverable-with-effort,
help_center,Content Subscriptions,GET,/api/v2/community/topics/{topic_id}/subscriptions/{subscription_id},hc,read,record,n/a,
help_center,Content Subscriptions,PUT,/api/v2/community/topics/{topic_id}/subscriptions/{subscription_id},hc,write,record,reversible,
help_center,Content Subscriptions,GET,/api/v2/help_center/articles/{article_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,POST,/api/v2/help_center/articles/{article_id}/subscriptions,hc,write,record,reversible,
help_center,Content Subscriptions,DELETE,/api/v2/help_center/articles/{article_id}/subscriptions/{subscription_id},hc,delete,record,recoverable-with-effort,
help_center,Content Subscriptions,GET,/api/v2/help_center/articles/{article_id}/subscriptions/{subscription_id},hc,read,record,n/a,
help_center,Content Subscriptions,GET,/api/v2/help_center/sections/{section_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,POST,/api/v2/help_center/sections/{section_id}/subscriptions,hc,write,record,reversible,
help_center,Content Subscriptions,DELETE,/api/v2/help_center/sections/{section_id}/subscriptions/{subscription_id},hc,delete,record,recoverable-with-effort,
help_center,Content Subscriptions,GET,/api/v2/help_center/sections/{section_id}/subscriptions/{subscription_id},hc,read,record,n/a,
help_center,Content Subscriptions,GET,/api/v2/help_center/users/{user_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,GET,/api/v2/help_center/{locale}/articles/{article_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,POST,/api/v2/help_center/{locale}/articles/{article_id}/subscriptions,hc,write,record,reversible,
help_center,Content Subscriptions,DELETE,/api/v2/help_center/{locale}/articles/{article_id}/subscriptions/{subscription_id},hc,delete,record,recoverable-with-effort,
help_center,Content Subscriptions,GET,/api/v2/help_center/{locale}/articles/{article_id}/subscriptions/{subscription_id},hc,read,record,n/a,
help_center,Content Subscriptions,GET,/api/v2/help_center/{locale}/sections/{section_id}/subscriptions,hc,read,record,n/a,
help_center,Content Subscriptions,POST,/api/v2/help_center/{locale}/sections/{section_id}/subscriptions,hc,write,record,reversible,
help_center,Content Subscriptions,DELETE,/api/v2/help_center/{locale}/sections/{section_id}/subscriptions/{subscription_id},hc,delete,record,recoverable-with-effort,
help_center,Content Subscriptions,GET,/api/v2/help_center/{locale}/sections/{section_id}/subscriptions/{subscription_id},hc,read,record,n/a,
help_center,Help Center Search,GET,/api/v2/guide/search,hc,read,record,n/a,
help_center,Help Center Search,GET,/api/v2/help_center/articles/embeddable_search,hc,read,record,n/a,
help_center,Help Center Search,GET,/api/v2/help_center/articles/search,hc,read,record,n/a,
help_center,Help Center Search,GET,/api/v2/help_center/community_posts/search,hc,read,record,n/a,
help_center,Help Center Search,GET,/api/v2/help_center/deflection/suggestions,hc,read,record,n/a,
help_center,Help Center Search,GET,/hc/api/v2/articles/featured,hc,read,record,n/a,
help_center,Help Center Sessions,GET,/api/v2/help_center/sessions,hc,read,record,n/a,
help_center,Post Comments,GET,/api/v2/community/posts/{post_id}/comments,hc,read,record,n/a,
help_center,Post Comments,POST,/api/v2/community/posts/{post_id}/comments,hc,write,record,reversible,
help_center,Post Comments,DELETE,/api/v2/community/posts/{post_id}/comments/{post_comment_id},hc,delete,record,recoverable-with-effort,
help_center,Post Comments,GET,/api/v2/community/posts/{post_id}/comments/{post_comment_id},hc,read,record,n/a,
help_center,Post Comments,PUT,/api/v2/community/posts/{post_id}/comments/{post_comment_id},hc,write,record,reversible,
help_center,Post Comments,GET,/api/v2/community/users/{user_id}/comments,hc,read,record,n/a,
help_center,Post Comments,GET,/api/v2/help_center/{locale}/community/posts/{post_id}/comments/{post_comment_id},hc,read,record,n/a,
help_center,Posts,GET,/api/v2/community/posts,hc,read,record,n/a,
help_center,Posts,POST,/api/v2/community/posts,hc,write,record,reversible,
help_center,Posts,DELETE,/api/v2/community/posts/{post_id},hc,delete,record,recoverable-with-effort,
help_center,Posts,GET,/api/v2/community/posts/{post_id},hc,read,record,n/a,
help_center,Posts,PUT,/api/v2/community/posts/{post_id},hc,write,record,reversible,
help_center,Posts,GET,/api/v2/community/topics/{topic_id}/posts,hc,read,record,n/a,
