capability,family,method,path,operation_id,summary,paging,deprecated,sideload
help_center,Article Attachments,POST,/api/v2/help_center/articles/attachments,CreateAttachment,Create Unassociated Attachment,,,
help_center,Article Attachments,DELETE,/api/v2/help_center/articles/attachments/{article_attachment_id},DeleteArticleAttachment,Delete Article Attachment,,,
help_center,Article Attachments,GET,/api/v2/help_center/articles/attachments/{article_attachment_id},ShowArticleAttachmentNoArticle,Show Article Attachment,,,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments,ListArticleAttachments,List Article Attachments,,,
help_center,Article Attachments,POST,/api/v2/help_center/articles/{article_id}/attachments,CreateArticleAttachment,Create Article Attachment,,,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments/block,ListBlockArticleAttachments,List Article Block Attachments,,,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments/inline,ListInlineArticleAttachments,List Article Inline Attachments,,,
help_center,Article Attachments,GET,/api/v2/help_center/articles/{article_id}/attachments/{article_attachment_id},ShowArticleAttachment,Show Article Attachment in Article,,,
help_center,Article Attachments,GET,/api/v2/help_center/{locale}/articles/{article_id}/attachments,ListArticleAttachmentsWithLocale,List Article Attachments by Locale,,,
help_center,Article Attachments,GET,/api/v2/help_center/{locale}/articles/{article_id}/attachments/block,ListBlockArticleAttachmentsWithLocale,List Article Block Attachments by Locale,,,
help_center,Article Attachments,GET,/api/v2/help_center/{locale}/articles/{article_id}/attachments/inline,ListInlineArticleAttachmentsWithLocale,List Article Inline Attachments by Locale,,,
help_center,Article Comments,GET,/api/v2/help_center/articles/{article_id}/comments,ListArticleCommentsNoLocale,List Article Comments,,,
help_center,Article Comments,POST,/api/v2/help_center/articles/{article_id}/comments,CreateArticleCommentNoLocale,Create Article Comment,,,
help_center,Article Comments,DELETE,/api/v2/help_center/articles/{article_id}/comments/{comment_id},DeleteArticleCommentNoLocale,Delete Article Comment,,,
help_center,Article Comments,GET,/api/v2/help_center/articles/{article_id}/comments/{comment_id},ShowArticleCommentNoLocale,Show Article Comment,,,
help_center,Article Comments,PUT,/api/v2/help_center/articles/{article_id}/comments/{comment_id},UpdateArticleCommentNoLocale,Update Article Comment,,,
help_center,Article Comments,GET,/api/v2/help_center/users/{user_id}/comments,ListArticleCommentsByUserNoLocale,List Article Comments by User,,,
help_center,Article Comments,GET,/api/v2/help_center/{locale}/articles/{article_id}/comments,ListArticleComments,List Article Comments by Locale,,,
help_center,Article Comments,POST,/api/v2/help_center/{locale}/articles/{article_id}/comments,CreateArticleComment,Create Comment,,,
help_center,Article Comments,DELETE,/api/v2/help_center/{locale}/articles/{article_id}/comments/{comment_id},DeleteComment,Delete Article Comment by Locale,,,
help_center,Article Comments,GET,/api/v2/help_center/{locale}/articles/{article_id}/comments/{comment_id},ShowComment,Show Article Comment by Locale,,,
help_center,Article Comments,PUT,/api/v2/help_center/{locale}/articles/{article_id}/comments/{comment_id},UpdateComment,Update Article Comment by Locale,,,
help_center,Article Labels,GET,/api/v2/help_center/articles/labels,ListAllArticleLabels,List All Labels,,,
help_center,Article Labels,DELETE,/api/v2/help_center/articles/labels/{label_id},DeleteLabel,Delete Label,,,
